,Variable,Max,Average,Min
2011-12-01,Wind,33.0,8.38,0.0
2011-12-01,Gust Wind,62.0,1.92,0.0
2011-12-01,Sea Level Pressure,30.53,29.87,28.94
2012-01-01,Max Temperature,54.0,48.1,36.0
2012-01-01,Avg Temperature,51.48,43.68,31.65
2012-01-01,Min Temperature,48.0,37.74,21.0
2012-01-01,Dew Point,52.0,35.96,0.0
2012-01-01,Precipitation,0.0,0.0,0.0
2012-01-01,Snowdepth,0.0,0.0,0.0
2012-01-01,Wind,36.0,7.48,0.0
2012-01-01,Gust Wind,54.0,2.54,0.0
2012-01-01,Sea Level Pressure,30.53,30.14,29.41
2012-02-01,Max Temperature,57.0,44.79,32.0
2012-02-01,Avg Temperature,53.94,40.46,27.45
2012-02-01,Min Temperature,50.0,33.79,16.0
2012-02-01,Dew Point,52.0,31.95,0.0
2012-02-01,Precipitation,0.0,0.0,0.0
2012-02-01,Snowdepth,0.0,0.0,0.0
2012-02-01,Wind,24.0,5.85,0.0
2012-02-01,Gust Wind,37.0,0.55,0.0
2012-02-01,Sea Level Pressure,30.77,30.38,29.76
2012-03-01,Max Temperature,68.0,56.32,46.0
2012-03-01,Avg Temperature,56.09,48.88,41.53
2012-03-01,Min Temperature,48.0,35.35,0.0
2012-03-01,Dew Point,48.0,37.25,0.0
2012-03-01,Precipitation,0.0,0.0,0.0
2012-03-01,Snowdepth,0.0,0.0,0.0
2012-03-01,Wind,24.0,5.42,0.0
2012-03-01,Gust Wind,36.0,0.77,0.0
2012-03-01,Sea Level Pressure,30.62,30.31,29.82
2012-04-01,Max Temperature,61.0,53.0,46.0
2012-04-01,Avg Temperature,55.0,46.6,38.56
2012-04-01,Min Temperature,48.0,35.7,-9.0
2012-04-01,Dew Point,50.0,36.3,-22.0
2012-04-01,Precipitation,0.0,0.0,0.0
2012-04-01,Snowdepth,0.0,0.0,0.0
2012-04-01,Wind,29.0,8.2,0.0
2012-04-01,Gust Wind,44.0,3.3,0.0
2012-04-01,Sea Level Pressure,30.29,29.6,28.79
2012-05-01,Max Temperature,79.0,61.42,48.0
2012-05-01,Avg Temperature,70.65,56.33,44.47
2012-05-01,Min Temperature,61.0,47.45,34.0
2012-05-01,Dew Point,63.0,45.15,0.0
2012-05-01,Precipitation,0.0,0.0,0.0
2012-05-01,Snowdepth,0.0,0.0,0.0
2012-05-01,Wind,20.0,7.51,0.0
2012-05-01,Gust Wind,31.0,0.72,0.0
2012-05-01,Sea Level Pressure,30.65,29.98,29.56
2012-06-01,Max Temperature,73.0,61.83,52.0
2012-06-01,Avg Temperature,65.91,57.88,51.06
2012-06-01,Min Temperature,57.0,52.17,45.0
2012-06-01,Dew Point,64.0,49.82,36.0
2012-06-01,Precipitation,0.0,0.0,0.0
2012-06-01,Snowdepth,0.0,0.0,0.0
2012-06-01,Wind,29.0,10.57,0.0
2012-06-01,Gust Wind,46.0,3.17,0.0
2012-06-01,Sea Level Pressure,30.15,29.83,29.29
2012-07-01,Max Temperature,82.0,65.94,59.0
2012-07-01,Avg Temperature,72.44,61.26,55.23
2012-07-01,Min Temperature,59.0,53.39,45.0
2012-07-01,Dew Point,61.0,52.12,39.0
2012-07-01,Precipitation,0.0,0.0,0.0
2012-07-01,Snowdepth,0.0,0.0,0.0
2012-07-01,Wind,18.0,7.39,0.0
2012-07-01,Gust Wind,38.0,0.57,0.0
2012-07-01,Sea Level Pressure,30.32,29.9,29.5
2012-08-01,Max Temperature,81.0,68.26,63.0
2012-08-01,Avg Temperature,72.41,63.28,56.65
2012-08-01,Min Temperature,61.0,55.71,45.0
2012-08-01,Dew Point,66.0,54.6,39.0
2012-08-01,Precipitation,0.0,0.0,0.0
2012-08-01,Snowdepth,0.0,0.0,0.0
2012-08-01,Wind,22.0,8.26,0.0
2012-08-01,Gust Wind,33.0,0.73,0.0
2012-08-01,Sea Level Pressure,30.41,29.92,29.47
2012-09-01,Max Temperature,73.0,63.37,52.0
2012-09-01,Avg Temperature,65.65,57.27,50.12
2012-09-01,Min Temperature,61.0,47.27,37.0
2012-09-01,Dew Point,61.0,48.19,36.0
2012-09-01,Precipitation,0.0,0.0,0.0
2012-09-01,Snowdepth,0.0,0.0,0.0
2012-09-01,Wind,21.0,7.2,0.0
2012-09-01,Gust Wind,37.0,0.92,0.0
2012-09-01,Sea Level Pressure,30.38,29.95,29.06
2012-10-01,Max Temperature,61.0,55.68,46.0
2012-10-01,Avg Temperature,57.85,51.58,41.06
2012-10-01,Min Temperature,55.0,45.71,30.0
2012-10-01,Dew Point,59.0,45.74,0.0
2012-10-01,Precipitation,0.0,0.0,0.0
2012-10-01,Snowdepth,0.0,0.0,0.0
2012-10-01,Wind,26.0,7.46,0.0
2012-10-01,Gust Wind,47.0,2.04,0.0
2012-10-01,Sea Level Pressure,30.21,29.79,28.88
2012-11-01,Max Temperature,55.0,50.03,41.0
2012-11-01,Avg Temperature,53.76,45.38,32.63
2012-11-01,Min Temperature,50.0,38.03,25.0
2012-11-01,Dew Point,54.0,38.85,0.0
2012-11-01,Precipitation,0.0,0.0,0.0
2012-11-01,Snowdepth,0.0,0.0,0.0
2012-11-01,Wind,30.0,6.92,0.0
2012-11-01,Gust Wind,62.0,3.2,0.0
2012-11-01,Sea Level Pressure,30.29,29.78,28.82
2012-12-01,Max Temperature,55.0,47.43,36.0
2012-12-01,Avg Temperature,52.07,43.11,30.32
2012-12-01,Min Temperature,48.0,37.3,23.0
2012-12-01,Dew Point,54.0,36.08,0.0
2012-12-01,Precipitation,0.0,0.0,0.0
2012-12-01,Snowdepth,0.0,0.0,0.0
2012-12-01,Wind,30.0,8.92,0.0
2012-12-01,Gust Wind,52.0,3.85,0.0
2012-12-01,Sea Level Pressure,30.41,29.75,28.79
2013-01-01,Max Temperature,54.0,43.48,32.0
2013-01-01,Avg Temperature,52.59,40.66,29.35
2013-01-01,Min Temperature,50.0,36.81,21.0
2013-01-01,Dew Point,52.0,34.45,0.0
2013-01-01,Precipitation,0.0,0.0,0.0
2013-01-01,Snowdepth,0.0,0.0,0.0
2013-01-01,Wind,32.0,7.23,0.0
2013-01-01,Gust Wind,54.0,2.15,0.0
